"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85939",89,106.625,"diffPos_sameObj",88,112,99.2773891679268,18.625,5.375,7.34761083207319,24,12,4.65238916792681,7.28125
"85939",90,120.625,"diffPos_sameObj",106,121,113.251931550857,14.625,0.375,7.37306844914295,15,7.5,0.126931550857051,21.28125
"85939",91,77.625,"diffPos_diffObj",86,110,97.2625313263027,8.375,32.375,19.6375313263027,24,20.375,0.737468673697336,-21.71875
"85939",92,63.625,"diffPos_diffObj",82,79,80.4860236314355,18.375,15.375,16.8610236314355,3,16.875,0.0139763685644567,-35.71875
"85939",93,106.625,"samePos_sameObj",94,105,99.3478736561583,12.625,1.625,7.27712634384169,11,7.125,-0.152126343841687,7.28125
"85939",94,77.625,"diffPos_diffObj",80,121,98.3869910099907,2.375,43.375,20.7619910099907,41,22.875,2.11300899000926,-21.71875
"85939",95,120.625,"diffPos_sameObj",115,120,117.473401244707,5.625,0.625,3.1515987552927,5,3.125,-0.0265987552926958,21.28125
"85939",96,63.625,"samePos_sameObj",66,63,64.482555780614,2.375,0.625,0.857555780613993,3,1.5,0.642444219386007,-35.71875
"85939",97,149.625,"samePos_diffObj",130,138,133.940285202026,19.625,11.625,15.6847147979742,8,15.625,-0.0597147979742374,50.28125
"85939",98,49.625,"diffPos_diffObj",60,56,57.9655069847578,10.375,6.375,8.34050698475778,4,8.375,0.0344930152422194,-49.71875
"85939",99,135,"diffPos_sameObj",121,115,117.9618582424,14,20,17.0381417576003,6,17,-0.0381417576003429,35.65625
"85939",100,149.625,"samePos_sameObj",143,128,135.292276202302,6.625,21.625,14.3327237976979,15,14.125,-0.207723797697867,50.28125
"85939",101,77.625,"samePos_sameObj",83,73,77.8395786216755,5.375,4.625,0.2145786216755,10,5,4.7854213783245,-21.71875
"85939",102,106.625,"diffPos_sameObj",100,65,80.6225774829855,6.625,41.625,26.0024225170145,35,24.125,-1.87742251701447,7.28125
"85939",103,120.625,"samePos_sameObj",111,91,100.503731274018,9.625,29.625,20.1212687259821,20,19.625,-0.496268725982105,21.28125
"85939",104,135,"diffPos_sameObj",112,89,99.8398717947895,23,46,35.1601282052105,23,34.5,-0.660128205210498,35.65625
"85939",105,63.625,"samePos_diffObj",58,55,56.4800849857718,5.625,8.625,7.14491501422825,3,7.125,-0.0199150142282463,-35.71875
"85939",106,106.625,"samePos_diffObj",96,90,92.951600308978,10.625,16.625,13.673399691022,6,13.625,-0.0483996910219986,7.28125
"85939",107,149.625,"samePos_sameObj",108,107,107.498837203014,41.625,42.625,42.1261627969865,1,42.125,-0.00116279698646338,50.28125
"85939",108,49.625,"diffPos_sameObj",50,59,54.3139024560011,0.375,9.375,4.68890245600107,9,4.875,0.186097543998926,-49.71875
"85939",109,149.625,"samePos_diffObj",139,118,128.070293198696,10.625,31.625,21.5547068013039,21,21.125,-0.429706801303894,50.28125
"85939",110,106.625,"samePos_diffObj",105,119,111.781035958699,1.625,12.375,5.15603595869918,14,7,1.84396404130082,7.28125
"85939",111,49.625,"samePos_diffObj",52,48,49.9599839871872,2.375,1.625,0.334983987187194,4,2,1.66501601281281,-49.71875
"85939",112,92,"diffPos_sameObj",66,80,72.6636084983398,26,12,19.3363915016602,14,19,-0.336391501660231,-7.34375
"85939",113,149.625,"diffPos_sameObj",121,118,119.490585403202,28.625,31.625,30.1344145967975,3,30.125,-0.00941459679754075,50.28125
"85939",114,77.625,"samePos_diffObj",86,82,83.9761871008681,8.375,4.375,6.3511871008681,4,6.375,0.0238128991318973,-21.71875
"85939",115,149.625,"samePos_diffObj",133,136,134.491635427636,16.625,13.625,15.1333645723645,3,15.125,-0.00836457236448496,50.28125
"85939",116,92,"diffPos_sameObj",103,106,104.489233895172,11,14,12.4892338951722,3,12.5,0.0107661048277805,-7.34375
"85939",117,49.625,"samePos_sameObj",60,69,64.3428317685816,10.375,19.375,14.7178317685816,9,14.875,0.157168231418353,-49.71875
"85939",118,77.625,"diffPos_sameObj",77,84,80.4238770515324,0.625,6.375,2.7988770515324,7,3.5,0.701122948467599,-21.71875
"85939",119,92,"diffPos_diffObj",112,87,98.7117014340245,20,5,6.71170143402455,25,12.5,5.78829856597545,-7.34375
"85939",120,63.625,"samePos_diffObj",103,75,87.8919791562347,39.375,11.375,24.2669791562347,28,25.375,1.10802084376527,-35.71875
"85939",121,49.625,"samePos_diffObj",71,55,62.489999199872,21.375,5.375,12.864999199872,16,13.375,0.510000800128019,-49.71875
"85939",122,77.625,"diffPos_sameObj",95,88,91.4330356052997,17.375,10.375,13.8080356052997,7,13.875,0.066964394700264,-21.71875
"85939",123,63.625,"diffPos_sameObj",94,63,76.954532030284,30.375,0.625,13.329532030284,31,15.5,2.17046796971604,-35.71875
"85939",124,49.625,"samePos_sameObj",64,57,60.398675482166,14.375,7.375,10.773675482166,7,10.875,0.101324517834009,-49.71875
"85939",125,92,"diffPos_diffObj",109,105,106.981306778334,17,13,14.981306778334,4,15,0.0186932216660409,-7.34375
"85939",126,120.625,"samePos_diffObj",120,120,120,0.625,0.625,0.625000000000028,0,0.625,-2.8421709430404e-14,21.28125
"85939",127,135,"diffPos_sameObj",135,133,133.996268604764,0,2,1.00373139523629,2,1,-0.00373139523628652,35.65625
"85939",128,63.625,"samePos_diffObj",74,68,70.9365914038728,10.375,4.375,7.31159140387282,6,7.375,0.0634085961271751,-35.71875
"85941",1,92,"diffPos_sameObj",108,107,107.498837203014,16,15,15.4988372030135,1,15.5,0.00116279698646338,-7.34375
